"","id","month","year","value","date"
"1","EU1",1,2015,0.3,2015-01-01
"2","EU1",2,2015,0.4,2015-02-01
"3","EU1",3,2015,0,2015-03-01
"4","EU1",4,2015,0,2015-04-01
"5","EU1",5,2015,-0.1,2015-05-01
"6","EU1",6,2015,0.3,2015-06-01
"7","EU1",7,2015,0.3,2015-07-01
"8","EU1",8,2015,0.7,2015-08-01
"9","EU1",9,2015,0.5,2015-09-01
"10","EU1",10,2015,0.5,2015-10-01
"11","EU1",11,2015,0.7,2015-11-01
"12","EU1",12,2015,0.6,2015-12-01
"13","EU1",1,2016,0.7,2016-01-01
"14","EU1",2,2016,0.6,2016-02-01
"15","EU1",3,2016,0.5,2016-03-01
"16","EU1",4,2016,0.7,2016-04-01
"17","EU1",5,2016,0.8,2016-05-01
"18","EU1",6,2016,0.8,2016-06-01
"19","EU1",7,2016,1,2016-07-01
"20","EU1",8,2016,0.6,2016-08-01
"21","EU1",9,2016,0.9,2016-09-01
"22","EU1",10,2016,0.8,2016-10-01
"23","EU1",11,2016,1.1,2016-11-01
"24","EU1",12,2016,1,2016-12-01
"25","EU1",1,2017,1.1,2017-01-01
"26","EU1",2,2017,1.3,2017-02-01
"27","EU1",3,2017,1.3,2017-03-01
"28","EU1",4,2017,1.3,2017-04-01
"29","EU1",5,2017,1.2,2017-05-01
"30","EU1",6,2017,1.4,2017-06-01
"31","EU1",7,2017,1.3,2017-07-01
"32","EU1",8,2017,1.6,2017-08-01
"33","EU1",9,2017,1.5,2017-09-01
"34","EU1",10,2017,1.4,2017-10-01
"35","EU1",11,2017,1.7,2017-11-01
"36","EU1",12,2017,1.6,2017-12-01
"37","EU1",1,2018,NA,2018-01-01
"38","EU1",2,2018,NA,2018-02-01
"39","EU1",3,2018,NA,2018-03-01
"40","EU1",4,2018,NA,2018-04-01
"41","EU1",5,2018,NA,2018-05-01
"42","EU1",6,2018,NA,2018-06-01
"43","EU1",7,2018,NA,2018-07-01
"44","EU1",8,2018,NA,2018-08-01
"45","EU1",9,2018,NA,2018-09-01
"46","EU1",10,2018,NA,2018-10-01
"47","EU1",11,2018,NA,2018-11-01
"48","EU1",12,2018,NA,2018-12-01
"49","EU1",1,2019,NA,2019-01-01
"50","EU1",2,2019,NA,2019-02-01
"51","EU1",3,2019,NA,2019-03-01
"52","EU1",4,2019,NA,2019-04-01
"53","EU1",5,2019,NA,2019-05-01
"54","EU1",6,2019,NA,2019-06-01
"55","EU1",7,2019,NA,2019-07-01
"56","EU1",8,2019,NA,2019-08-01
"57","EU1",9,2019,NA,2019-09-01
"58","EU1",10,2019,NA,2019-10-01
"59","EU1",11,2019,NA,2019-11-01
"60","EU1",12,2019,NA,2019-12-01
"61","EU1",1,2020,NA,2020-01-01
"62","EU1",2,2020,NA,2020-02-01
"63","EU1",3,2020,NA,2020-03-01
"64","EU1",4,2020,NA,2020-04-01
"65","EU1",5,2020,NA,2020-05-01
"66","EU1",6,2020,NA,2020-06-01
"67","EU1",7,2020,NA,2020-07-01
"68","EU1",8,2020,NA,2020-08-01
"69","EU1",9,2020,NA,2020-09-01
"70","EU1",10,2020,NA,2020-10-01
"71","EU1",11,2020,NA,2020-11-01
"72","EU1",12,2020,NA,2020-12-01
"73","EU1",1,2021,NA,2021-01-01
"74","EU1",2,2021,NA,2021-02-01
"75","EU1",3,2021,NA,2021-03-01
"76","EU1",4,2021,NA,2021-04-01
"77","EU1",5,2021,NA,2021-05-01
"78","EU1",6,2021,NA,2021-06-01
"79","EU1",7,2021,NA,2021-07-01
"80","EU1",8,2021,NA,2021-08-01
"81","EU1",9,2021,NA,2021-09-01
"82","EU1",10,2021,NA,2021-10-01
"83","EU1",11,2021,NA,2021-11-01
"84","EU1",12,2021,NA,2021-12-01
"85","EU2",1,2015,0.1,2015-01-01
"86","EU2",2,2015,0,2015-02-01
"87","EU2",3,2015,0,2015-03-01
"88","EU2",4,2015,0.2,2015-04-01
"89","EU2",5,2015,0.1,2015-05-01
"90","EU2",6,2015,-0.1,2015-06-01
"91","EU2",7,2015,0.1,2015-07-01
"92","EU2",8,2015,0.1,2015-08-01
"93","EU2",9,2015,0.3,2015-09-01
"94","EU2",10,2015,0.1,2015-10-01
"95","EU2",11,2015,0.4,2015-11-01
"96","EU2",12,2015,0.4,2015-12-01
"97","EU2",1,2016,0.2,2016-01-01
"98","EU2",2,2016,1.1,2016-02-01
"99","EU2",3,2016,0.4,2016-03-01
"100","EU2",4,2016,0.6,2016-04-01
"101","EU2",5,2016,0.8,2016-05-01
"102","EU2",6,2016,0.5,2016-06-01
"103","EU2",7,2016,0.7,2016-07-01
"104","EU2",8,2016,0.8,2016-08-01
"105","EU2",9,2016,1,2016-09-01
"106","EU2",10,2016,0.7,2016-10-01
"107","EU2",11,2016,0.7,2016-11-01
"108","EU2",12,2016,1,2016-12-01
"109","EU2",1,2017,1,2017-01-01
"110","EU2",2,2017,1.1,2017-02-01
"111","EU2",3,2017,1.3,2017-03-01
"112","EU2",4,2017,0.8,2017-04-01
"113","EU2",5,2017,0.9,2017-05-01
"114","EU2",6,2017,1.5,2017-06-01
"115","EU2",7,2017,1.7,2017-07-01
"116","EU2",8,2017,1.1,2017-08-01
"117","EU2",9,2017,1.6,2017-09-01
"118","EU2",10,2017,1.3,2017-10-01
"119","EU2",11,2017,1.4,2017-11-01
"120","EU2",12,2017,1.2,2017-12-01
"121","EU2",1,2018,NA,2018-01-01
"122","EU2",2,2018,NA,2018-02-01
"123","EU2",3,2018,NA,2018-03-01
"124","EU2",4,2018,NA,2018-04-01
"125","EU2",5,2018,NA,2018-05-01
"126","EU2",6,2018,NA,2018-06-01
"127","EU2",7,2018,NA,2018-07-01
"128","EU2",8,2018,NA,2018-08-01
"129","EU2",9,2018,NA,2018-09-01
"130","EU2",10,2018,NA,2018-10-01
"131","EU2",11,2018,NA,2018-11-01
"132","EU2",12,2018,NA,2018-12-01
"133","EU2",1,2019,NA,2019-01-01
"134","EU2",2,2019,NA,2019-02-01
"135","EU2",3,2019,NA,2019-03-01
"136","EU2",4,2019,NA,2019-04-01
"137","EU2",5,2019,NA,2019-05-01
"138","EU2",6,2019,NA,2019-06-01
"139","EU2",7,2019,NA,2019-07-01
"140","EU2",8,2019,NA,2019-08-01
"141","EU2",9,2019,NA,2019-09-01
"142","EU2",10,2019,NA,2019-10-01
"143","EU2",11,2019,NA,2019-11-01
"144","EU2",12,2019,NA,2019-12-01
"145","EU2",1,2020,NA,2020-01-01
"146","EU2",2,2020,NA,2020-02-01
"147","EU2",3,2020,NA,2020-03-01
"148","EU2",4,2020,NA,2020-04-01
"149","EU2",5,2020,NA,2020-05-01
"150","EU2",6,2020,NA,2020-06-01
"151","EU2",7,2020,NA,2020-07-01
